Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1,1989A1,1990A1,1991A1,1992A1,1993A1,1994A1,1995A1,1996A1,1997A1,1998A1,1999A1,2000A1,2001A1
World Economic Outlook,Annual percent change,W622NGDP_R%,CAMEROON,"Gross domestic product, constant prices",7.87,-8.22,17.07,1.46,4.45,5.15,1.92,5.67,5.00,5.99,9.90,17.05,7.56,6.84,7.47,8.11,6.79,-2.15,-7.86,-1.77,-6.16,-3.76,-3.05,-3.16,-2.49,3.30,5.00,5.10,5.05,4.40,4.20,5.34
World Economic Outlook,Annual percent change,W156NGDP_R%,CANADA,"Gross domestic product, constant prices",2.59,5.76,5.73,7.71,4.40,2.22,5.49,3.46,4.08,4.20,1.38,3.05,-2.94,2.75,5.67,5.40,2.64,4.10,4.86,2.54,0.27,-1.87,0.91,2.30,4.73,2.77,1.70,3.95,3.10,4.19,3.74,2.68
World Economic Outlook,Annual percent change,W624NGDP_R%,CAPE VERDE,"Gross domestic product, constant prices",3.80,5.37,2.32,1.60,2.36,-16.90,2.08,-4.98,9.67,3.20,5.26,5.63,-1.21,-0.07,-0.16,3.53,10.10,2.56,6.72,4.47,-5.13,-34.06,-18.39,87.87,12.67,2.23,2.62,6.62,8.02,8.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W626NGDP_R%,CENTRAL AFRICAN REP.,"Gross domestic product, constant prices",2.03,1.84,1.35,1.86,6.20,0.34,4.99,5.67,4.44,2.48,-3.00,12.95,-3.57,-6.03,9.91,3.73,9.00,-4.25,1.87,1.12,-2.88,-0.55,-6.42,0.34,4.89,6.00,-3.22,5.73,4.85,3.06,n.a.,n.a.
World Economic Outlook,Annual percent change,W628NGDP_R%,CHAD,"Gross domestic product, constant prices",9.76,4.28,2.21,7.32,3.04,6.58,0.29,1.54,-0.49,-21.43,-6.01,-5.10,5.38,15.66,5.26,7.90,5.97,3.65,7.54,1.95,3.20,10.40,2.39,-2.07,5.67,1.11,3.66,4.08,8.09,-1.14,n.a.,n.a.
World Economic Outlook,Annual percent change,W228NGDP_R%,CHILE,"Gross domestic product, constant prices",1.37,8.96,-1.21,-5.57,0.97,-12.91,3.52,9.86,8.22,8.28,7.78,6.68,-13.42,-3.49,6.09,3.48,5.60,6.59,7.31,10.56,3.70,7.97,12.28,6.99,5.71,10.63,7.41,7.57,3.41,-1.00,6.00,6.50
World Economic Outlook,Annual percent change,W924NGDP_R%,"CHINA,P.R.: MAINLAND","Gross domestic product, constant prices",16.19,6.90,4.60,12.81,4.00,6.81,-2.68,8.00,7.68,6.96,7.91,4.40,8.56,10.46,15.20,13.50,8.80,11.60,11.30,4.10,3.80,9.20,14.20,13.50,12.60,10.50,9.60,8.80,7.80,7.10,7.00,6.50
World Economic Outlook,Annual percent change,W532NGDP_R%,"CHINA,P.R.:HONG KONG","Gross domestic product, constant prices",9.40,7.30,11.00,12.70,2.20,0.20,17.10,12.50,9.50,11.65,10.92,9.48,2.77,5.68,9.97,0.40,10.69,12.96,7.97,2.56,3.50,5.06,6.26,6.13,5.40,3.89,4.49,4.97,-5.13,2.91,6.05,4.74
World Economic Outlook,Annual percent change,W233NGDP_R%,COLOMBIA,"Gross domestic product, constant prices",9.30,5.96,7.67,6.72,5.75,2.32,4.73,4.16,8.85,4.91,4.43,2.43,0.95,1.57,3.35,3.11,5.82,5.37,4.06,3.41,4.28,2.00,4.04,5.38,5.83,5.20,2.06,3.24,0.44,-5.01,3.01,4.81
World Economic Outlook,Annual percent change,W632NGDP_R%,COMOROS,"Gross domestic product, constant prices",9.76,4.28,2.21,7.32,3.04,6.58,0.29,3.97,3.04,9.57,7.38,5.50,4.10,3.10,4.20,0.79,0.16,1.64,2.69,-3.18,5.09,-5.40,8.53,3.01,-5.28,-3.87,-0.44,0.00,0.00,1.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W636NGDP_R%,"CONGO, DEM. REP. OF","Gross domestic product, constant prices",9.63,6.00,0.15,8.14,3.13,-5.04,-5.25,0.76,-5.30,0.30,2.41,0.94,-0.45,1.41,4.84,0.46,4.72,2.67,0.46,-1.26,-6.57,-8.42,-10.47,-13.53,-3.87,0.70,0.90,-6.40,-3.50,-15.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W634NGDP_R%,"CONGO, REPUBLIC OF","Gross domestic product, constant prices",3.78,5.61,5.11,6.25,15.15,-3.28,-0.13,-5.33,7.41,11.26,12.68,31.51,14.94,5.61,7.22,-1.15,-6.88,0.18,1.77,2.86,0.92,2.40,2.61,-0.98,-5.49,3.99,6.34,-2.75,3.64,-1.63,n.a.,n.a.
World Economic Outlook,Annual percent change,W238NGDP_R%,COSTA RICA,"Gross domestic product, constant prices",7.50,6.78,8.18,7.71,5.54,2.10,5.52,8.90,6.27,4.90,0.80,0.80,-6.99,2.86,8.02,0.72,5.54,4.76,3.43,5.67,3.55,2.27,7.74,6.34,4.47,2.38,-0.56,3.72,6.18,5.00,n.a.,n.a.
World Economic Outlook,Annual percent change,W662NGDP_R%,COTE D IVOIRE,"Gross domestic product, constant prices",5.88,6.40,4.67,3.93,5.66,9.22,11.99,4.71,9.90,1.99,5.20,3.50,0.20,-2.50,-2.00,3.62,4.68,-0.35,1.14,2.95,-1.09,0.04,-0.25,-0.18,1.97,7.08,6.76,5.95,4.50,4.34,4.81,5.03
World Economic Outlook,Annual percent change,W960NGDP_R%,CROATIA,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8.03,5.87,6.83,6.00,6.50,2.30,-2.00,n.a.,n.a.
